No,English Name,Hindi Name,English Aliases,Hindi / Hinglish Aliases,Keywords (order-independent),Disambiguation Group
1,Main Entrance,मुख्य द्वार,"main gate, front gate, entry gate, entrance","मेन गेट, मुख्य गेट, एंट्री",main entrance gate मुख्य द्वार मेन गेट एंट्री,
2,Ambulance Bay,एम्बुलेंस बे,"ambulance, ambulance parking, ambulance stand","एम्बुलेंस, एम्बुलेंस खड़ी जगह",ambulance bay एम्बुलेंस,
3,Reception,स्वागत कक्ष,"reception, front desk, registration counter, OPD slip counter, inquiry","रिसेप्शन, पर्ची काउंटर, पूछताछ",reception स्वागत रिसेप्शन पर्ची काउंटर,
4,Casualty,आकस्मिक विभाग,"casualty, emergency, ER, accident ward","कैजुअल्टी, इमरजेंसी, दुर्घटना वार्ड",casualty accident हादसा आकस्मिक कैजुअल्टी दुर्घटना,
5,Dressing Room,पट्टी कक्ष,"dressing room, bandage room, wound dressing","ड्रेसिंग रूम, पट्टी वाला कमरा, पट्टी रूम",dressing bandage wound पट्टी ड्रेसिंग,
6,Psychiatry Department,मनोचिकित्सा विभाग,"psychiatry, mental health department, psychiatric OPD","मानसिक रोग विभाग, मनोरोग विभाग, दिमाग का डॉक्टर",psychiatry mental pagal dimag मनोचिकित्सा मानसिक मनोरोग दिमाग,
7,Emergency Room,आपातकालीन कक्ष,"emergency room, ER, emergency ward, trauma","इमरजेंसी, इमरजेंसी रूम, आपातकाल",emergency room trauma इमरजेंसी आपातकाल,
8,Help Desk,सहायता केंद्र,"help desk, information desk, inquiry, info counter","हेल्प डेस्क, पूछताछ, जानकारी केंद्र",help desk information inquiry हेल्प डेस्क पूछताछ जानकारी,HELPDESK
9,E.C.G. Room,ई.सी.जी. कक्ष,"ECG room, ECG, cardiogram room, heart test room","ईसीजी रूम, ईसीजी, दिल की जांच",ecg cardiogram heart ईसीजी दिल,
10,Medicine OPD,मेडिसिन ओपीडी,"medicine OPD, general medicine, physician OPD, general physician","दवाखाना, मेडिसिन डॉक्टर, जनरल डॉक्टर",medicine general physician opd daktar मेडिसिन जनरल डॉक्टर,
11,Medical Specialist,चिकित्सा विशेषज्ञ,"medical specialist, specialist doctor, senior doctor","विशेषज्ञ डॉक्टर, बड़े डॉक्टर",specialist senior विशेषज्ञ बड़े डॉक्टर,
12,NCD Clinic,गैर-संचारी रोग क्लिनिक,"NCD clinic, non communicable disease clinic, diabetes clinic, BP clinic, sugar clinic","एनसीडी क्लिनिक, शुगर क्लिनिक, बीपी क्लिनिक",ncd diabetes sugar bp madhumeh blood pressure एनसीडी शुगर बीपी,
13,Washroom,शौचालय,"washroom, toilet, restroom, bathroom, loo","वॉशरूम, टॉयलेट, बाथरूम, संडास",washroom toilet bathroom restroom sandas latrine shauchalay shauchalaya sauchalay sauchalaya peshab pakhana शौचालय वॉशरूम टॉयलेट बाथरूम संडास,
14,Nursing Staff,नर्सिंग स्टाफ,"nursing staff, nurse station, nurse room","नर्सिंग स्टाफ, नर्स रूम, नर्स कक्ष",nursing nurse नर्सिंग नर्स,
15,Store Room,भंडार कक्ष,"store room, storage, supply room","स्टोर रूम, भंडार, गोदाम",store storage supply स्टोर भंडार गोदाम,
16,Dental Clinic,दंत चिकित्सालय,"dental clinic, dentist, tooth clinic","डेंटल क्लिनिक, दांत का डॉक्टर, दंत चिकित्सक",dental dentist tooth clinic डेंटल दांत दंत चिकित्सक क्लिनिक,DENTAL
17,Dental OPD,दंत ओपीडी,"dental OPD, teeth OPD, tooth OPD","दांत वाली ओपीडी, दंत ओपीडी",dental teeth tooth opd दांत दंत ओपीडी,DENTAL
18,Surgical OPD,सर्जिकल ओपीडी,"surgical OPD, surgery OPD, surgeon OPD","ऑपरेशन वाला डॉक्टर, सर्जरी ओपीडी",surgical surgery surgeon opd सर्जरी सर्जिकल ऑपरेशन ओपीडी,
19,ENT OPD,नाक कान गला ओपीडी,"ENT, ear nose throat, ENT OPD, ENT doctor","ईएनटी, नाक कान गला डॉक्टर",ent ear nose throat ईएनटी नाक कान गला,
20,Orthopedic OPD,हड्डी रोग ओपीडी,"ortho, orthopedic, bone doctor, bone OPD, orthopedic OPD","हड्डी का डॉक्टर, हड्डी रोग ओपीडी, हड्डी वाला डॉक्टर",ortho orthopedic bone haddi toot fracture हड्डी ऑर्थो,
21,Plaster Room,प्लास्टर कक्ष,"plaster room, cast room","प्लास्टर रूम, प्लास्टर कक्ष",plaster cast प्लास्टर,
22,Anti Rabies Room,एंटी रेबीज कक्ष,"anti rabies, rabies injection, dog bite injection, dog bite room","कुत्ते का इंजेक्शन, रेबीज इंजेक्शन, कुत्ता काटने का इलाज",rabies dog bite injection kutta kata रेबीज कुत्ता इंजेक्शन,
23,X-Ray Panjian,एक्स-रे पंजीयन,"X-ray registration, X-ray slip, X-ray counter","एक्सरे पर्ची, एक्सरे रजिस्ट्रेशन, एक्सरे पंजीयन",xray x-ray registration slip counter panjian एक्सरे पर्ची रजिस्ट्रेशन पंजीयन,XRAY
24,X-Ray Room (Radiology Department),एक्स-रे कक्ष / रेडियोलॉजी विभाग,"X-ray room, X-ray, radiology, radiology department","एक्सरे रूम, एक्सरे, रेडियोलॉजी",xray x-ray radiology room एक्सरे रेडियोलॉजी रूम,XRAY
25,DEIC (District Early Intervention Centre),जिला प्रारंभिक हस्तक्षेप केंद्र,"DEIC, early intervention centre, child development centre","डीईआईसी, बाल विकास केंद्र",deic early intervention child development डीईआईसी बाल विकास,
26,Sonography Room,सोनोग्राफी कक्ष,"sonography, ultrasound, USG, scan room","सोनोग्राफी, अल्ट्रासाउंड, स्कैन रूम",sonography ultrasound usg scan सोनोग्राफी अल्ट्रासाउंड स्कैन,SONO
27,Drug/Medicine Store Room,दवा भंडार,"medicine store room, drug store room, medicine storage","दवा भंडार, स्टोर रूम",drug medicine store room bhander दवा भंडार स्टोर,MEDSTORE
